RespondentID,IP Address,"On a scale of 1 to 5, please rate your overall opinion of the Black Tie Tailgate. <br><br> - ","What did you like <span style=""text-decoration: underline;"">best</span> about the Black Tie Tailgate? - Open-Ended Response"
4494305872,70.215.86.xxx,5 - outstanding,cars
4477816230,100.34.139.xxx,4 - excellent,I liked being able to dress up with my wife and the cause was important to us.
4479777535,50.166.168.xxx,4 - excellent,The dessert and music area
4482173481,71.225.253.xxx,4 - excellent,the food
4478112210,68.84.110.xxx,3 - good,The Jeep course ride
4478579656,98.114.140.xxx,4 - excellent,Was well planned out- plenty of spaces for food and drink 
4480882308,72.94.61.xxx,4 - excellent,That it was for a good cause and I got to get dressed up
4478683910,73.197.20.xxx,4 - excellent,Miss America
4477648616,104.254.17.xxx,5 - outstanding,everything
4478360357,108.24.91.xxx,5 - outstanding,Nice evening out
4478995421,73.226.76.xxx,5 - outstanding,Music and car display 
4478222219,73.160.250.xxx,3 - good,Atmosphere
4482418827,64.121.244.xxx,5 - outstanding,It was very organized and set up with an easy flow to see everything and not be overwhelmed. 
4478690385,68.80.134.xxx,4 - excellent,Jelly Roll!
4478506867,72.94.14.xxx,5 - outstanding,the selection of food
4488796741,75.88.141.xxx,5 - outstanding,Golf Cart Rides
4494288983,73.150.163.xxx,5 - outstanding,Tesla exhibit.
4478267038,70.91.2.xxx,4 - excellent,It is always a fun social setting
4494793913,70.215.87.xxx,4 - excellent,cars
4494783521,70.215.87.xxx,4 - excellent,cars
4479683706,76.116.255.xxx,4 - excellent,"Seeing cars, co-workers, enjoying food/drinks."
4478238724,69.249.105.xxx,4 - excellent,"Environment - decor, red carpet, pictures"
4478353117,69.253.194.xxx,5 - outstanding,"food, atmosphere, fun night with friends, selfie sticks"
4477816233,166.171.57.xxx,4 - excellent,Less crowded. No children. Had entertainment. Free drinks and food. Golf cart transportation between rooms
4477641388,104.254.17.xxx,5 - outstanding,everything
4483485877,73.141.40.xxx,4 - excellent,"High end cars--Bentley, etc."
4479362831,108.2.212.xxx,4 - excellent,that it was a private showing
4493337876,73.196.226.xxx,4 - excellent,cars 
4494283233,70.215.86.xxx,3 - good,cars
4477823406,166.171.57.xxx,4 - excellent,No children. No mass of people so very easy to see cars 
4490285798,71.162.211.xxx,3 - good,THAT A RECORD NUMBER ATTENDED ROR RECORD FUND RAISING.
4494585982,71.224.201.xxx,4 - excellent,Jeep ride
4478360997,96.93.6.xxx,4 - excellent,Went specifically to see the Lincoln Contenantal and the 17 Lincoln MKZ
4478246882,173.49.125.xxx,3 - good,Entertainment - Jellyroll !!!
4480880042,165.212.189.xxx,4 - excellent,
4478186769,73.233.181.xxx,5 - outstanding,Love entertainment 
4478667801,166.170.35.xxx,4 - excellent,Short wait times to look at the cars 
